"Shell","W10 1803","W10 1803+RSAT","W10 1809","W10 1809+RSAT","W10 1903","W10 1903+RSAT"
"PoSh 5.1",1455,2704,1497,2787,1486,2795
"PwSh 6.2.1",375,375,1162,1486,1245,1793
